original,replace
aren't,are not
can't,cannot
couldn't,could not
didn't,did not
doesn't,does not
don't,do not
hadn't,had not
hasn't,has not
haven't,have not
he'll,he will
I'll,I will
I'm,I am
I've,I have
isn't,is not
let's,let us
mustn't,must not
shan't,shall not
she'll,she will
shouldn't,should not
they'll,they will
they're,they are
they've,they have
we're,we are
we've,we have
weren't,were not
what'll,what will
what're,what are
what've,what have
who'll,who will
who're,who are
who've,who have
won't,will not
wouldn't,would not
you'll,you will
you're,you are
you've,you have
Aren't,Are not
Can't,Cannot
Couldn't,Could not
Didn't,Did not
Doesn't,Does not
Don't,Do not
Hadn't,Had not
Hasn't,Has not
Haven't,Have not
He'll,He will
Isn't,Is not
Let's,Let us
Mustn't,Must not
Shan't,Shall not
She'll,She will
Shouldn't,Should not
They'll,They will
They're,They are
They've,They have
We're,We are
We've,We have
Weren't,Were not
What'll,What will
What're,What are
What've,What have
Who'll,Who will
Who're,Who are
Who've,Who have
Won't,Will not
Wouldn't,Would not
You'll,You will
You're,You are
You've,You have